         20948676 function calls (19986510 primitive calls) in 125.411 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    21408    0.810    0.000    0.810    0.000 {built-in method torch.relu}
      584    0.793    0.001    0.793    0.001 C:\Users\elrod\OneDrive\Code\GNN-DQN-MARL\Agents-4\Baseline1-21\network.py:170(<listcomp>)
1997159/1764476    0.446    0.000    0.777    0.000 {built-in method builtins.isinstance}
      584    0.030    0.000    0.732    0.001 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\optim\adam.py:260(adam)
    39248    0.137    0.000    0.730    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\utils\_scatter.py:177(broadcast)
     3568    0.089    0.000    0.679    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\batch.py:20(__call__)
   249296    0.533    0.000    0.645    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\storage.py:89(__getattr__)
      584    0.020    0.000    0.643    0.001 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\optim\adam.py:450(_multi_tensor_adam)
    24528    0.618    0.000    0.618    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
     2673    0.614    0.000    0.614    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
   417600    0.223    0.000    0.611    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\module.py:2313(children)
    10704    0.604    0.000    0.604    0.000 {method 'scatter_reduce_' of 'torch._C.TensorBase' objects}
    77152    0.046    0.000    0.600    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\data.py:960(edge_index)
    77152    0.045    0.000    0.584    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch_geometric\data\data.py:976(edge_attr)
    50224    0.032    0.000    0.568    0.000 C:\Users\elrod\anaconda3\envs\GNN\Lib\site-packages\torch\nn\modules\module.py:2207(parameters)
    28544    0.559    0.000    0.559    0.000 {built-in method torch.cumsum}
